age,revenus,situation_familiale,anciennete_emploi,duree_credit,montant_credit,taux_endettement,nombre_enfants,score_banque,historique_paiement,appetence_conso,appetence_immo,score_appetence,observations_forces,observations_faiblesses
29,31143,0,6,25,319982,0.33,4,836,1,,,0.41,Taux endettement Faible (0),Age Faible (29)
20,16874,1,24,246,262536,0.63,4,479,0,,,0.45,N/A,Taux endettement Élevé (1); Age Faible (20)
18,32529,1,8,208,269525,0.04,2,809,0,,,0.35,Taux endettement Faible (0),Age Faible (18)
50,25866,2,16,305,152645,0.03,0,776,1,,,0.36,Taux endettement Faible (0); Age Élevé (50),N/A
57,19079,0,20,200,446550,0.43,4,699,1,,,0.49,Taux endettement Faible (0); Age Élevé (57),N/A
27,12243,2,22,67,225547,0.81,1,649,1,,,0.46,N/A,Taux endettement Élevé (1); Age Faible (27)
60,34872,1,12,112,75364,0.67,3,514,0,,,0.48,Age Élevé (60),Taux endettement Élevé (1)
61,14018,0,22,130,416373,0.02,0,682,0,,,0.33,Taux endettement Faible (0); Age Élevé (61),N/A
46,17100,1,9,306,281466,0.18,2,423,1,,,0.43,Taux endettement Faible (0); Age Élevé (46),N/A
30,24800,2,15,272,129024,0.23,3,591,1,,,0.43,Taux endettement Faible (0),Age Faible (30)
29,31910,0,5,207,274626,0.42,3,627,1,,,0.42,Taux endettement Faible (0),Age Faible (29)
48,34437,2,15,167,308011,0.59,1,864,1,,,0.53,Age Élevé (48),Taux endettement Élevé (1)
63,16001,1,10,349,266703,0.22,0,397,1,,,0.45,Taux endettement Faible (0); Age Élevé (63),N/A
19,24942,1,19,307,250888,0.38,3,599,0,,,0.34,Taux endettement Faible (0),Age Faible (19)
68,25862,1,2,117,351355,0.58,0,329,0,,,0.48,Age Élevé (68),Taux endettement Élevé (1)
67,16669,0,8,342,368100,0.38,1,373,1,,,0.45,Taux endettement Faible (0); Age Élevé (67),N/A
52,20916,2,14,37,380196,0.14,2,471,0,,,0.46,Taux endettement Faible (0); Age Élevé (52),N/A
40,15878,2,12,103,218343,0.49,3,383,1,,,0.46,Taux endettement Faible (0),Age Faible (40)
34,7985,1,9,252,351530,0.32,3,884,0,,,0.53,Taux endettement Faible (0),Age Faible (34)
43,37369,2,19,266,16732,0.86,3,589,0,,,0.45,N/A,Taux endettement Élevé (1); Age Faible (43)
25,13112,0,23,196,181825,0.78,0,384,1,,,0.45,N/A,Taux endettement Élevé (1); Age Faible (25)
46,23931,1,12,34,252076,0.19,3,553,1,,,0.44,Taux endettement Faible (0); Age Élevé (46),N/A
43,32340,1,16,53,245430,0.15,0,818,1,,,0.38,Taux endettement Faible (0),Age Faible (43)
27,5336,1,6,255,256328,0.35,4,751,1,,,0.53,Taux endettement Faible (0),Age Faible (27)
43,24363,0,5,231,44422,0.41,4,606,0,,,0.45,Taux endettement Faible (0),Age Faible (43)
51,8968,1,12,277,86964,0.93,0,483,0,,,0.52,Age Élevé (51),Taux endettement Élevé (1)
68,38678,1,16,158,66284,0.3,4,613,1,,,0.43,Taux endettement Faible (0); Age Élevé (68),N/A
58,21279,1,14,333,138575,0.87,1,640,0,,,0.51,Age Élevé (58),Taux endettement Élevé (1)
24,8129,1,3,290,21311,0.51,1,526,1,,,0.45,N/A,Taux endettement Élevé (1); Age Faible (24)
21,10850,2,14,185,210341,0.89,4,563,1,,,0.46,N/A,Taux endettement Élevé (1); Age Faible (21)
67,25588,1,13,307,401651,0.7,2,749,1,,,0.43,Age Élevé (67),Taux endettement Élevé (1)
62,16949,0,20,158,442795,0.71,0,550,1,,,0.47,Age Élevé (62),Taux endettement Élevé (1)
28,13519,1,10,239,214950,0.52,4,707,1,,,0.46,N/A,Taux endettement Élevé (1); Age Faible (28)
46,31375,1,23,28,348144,0.84,0,469,0,,,0.45,Age Élevé (46),Taux endettement Élevé (1)
53,38082,2,3,99,400403,0.25,4,865,0,,,0.49,Taux endettement Faible (0); Age Élevé (53),N/A
42,16737,1,2,250,189586,0.91,1,431,0,,,0.45,N/A,Taux endettement Élevé (1); Age Faible (42)
38,6134,2,1,295,317455,0.64,2,345,1,,,0.54,N/A,Taux endettement Élevé (1); Age Faible (38)
53,15938,0,19,165,20300,0.44,0,649,1,,,0.51,Taux endettement Faible (0); Age Élevé (53),N/A
27,29486,2,9,290,75375,0.98,2,398,0,,,0.48,N/A,Taux endettement Élevé (1); Age Faible (27)
54,31096,1,12,14,306707,0.86,1,336,0,,,0.52,Age Élevé (54),Taux endettement Élevé (1)
26,10592,0,19,190,452176,0.77,3,737,1,,,0.46,N/A,Taux endettement Élevé (1); Age Faible (26)
41,23108,1,20,300,131227,0.27,3,374,0,,,0.42,Taux endettement Faible (0),Age Faible (41)
52,22270,2,22,140,89244,0.97,0,357,1,,,0.53,Age Élevé (52),Taux endettement Élevé (1)
66,32649,0,24,115,400305,0.74,1,318,1,,,0.47,Age Élevé (66),Taux endettement Élevé (1)
52,15997,0,17,74,397451,0.61,0,701,1,,,0.57,Age Élevé (52),Taux endettement Élevé (1)
65,38489,2,20,141,169162,0.92,0,487,0,,,0.47,Age Élevé (65),Taux endettement Élevé (1)
53,14104,2,15,101,124687,0.16,0,438,1,,,0.45,Taux endettement Faible (0); Age Élevé (53),N/A
35,5870,0,10,124,26328,0.14,2,442,1,,,0.54,Taux endettement Faible (0),Age Faible (35)
66,33684,0,9,279,429870,0.56,4,407,0,,,0.52,Age Élevé (66),Taux endettement Élevé (1)
56,39524,2,8,343,147286,0.06,1,520,1,,,0.42,Taux endettement Faible (0); Age Élevé (56),N/A
49,35957,1,11,182,198812,0.66,2,444,1,,,0.53,Age Élevé (49),Taux endettement Élevé (1)
41,38885,0,18,242,468165,0.24,4,809,0,,,0.43,Taux endettement Faible (0),Age Faible (41)
40,34866,2,0,277,442129,0.12,0,675,0,,,0.42,Taux endettement Faible (0),Age Faible (40)
49,35676,1,17,282,430768,0.41,3,304,1,,,0.49,Taux endettement Faible (0); Age Élevé (49),N/A
54,18878,0,13,143,307521,0.47,2,687,0,,,0.52,Taux endettement Faible (0); Age Élevé (54),N/A
29,32559,0,21,137,166806,0.17,1,867,0,,,0.44,Taux endettement Faible (0),Age Faible (29)
66,11771,2,20,49,362401,0.04,1,859,1,,,0.36,Taux endettement Faible (0); Age Élevé (66),N/A
30,21526,1,0,128,28610,0.41,4,462,1,,,0.41,Taux endettement Faible (0),Age Faible (30)
40,34896,0,16,141,460823,0.76,2,664,1,,,0.48,N/A,Taux endettement Élevé (1); Age Faible (40)
42,36923,1,10,131,482374,0.87,0,716,1,,,0.45,N/A,Taux endettement Élevé (1); Age Faible (42)
52,17852,1,19,280,169947,0.1,4,808,1,,,0.38,Taux endettement Faible (0); Age Élevé (52),N/A
58,6848,0,14,69,65082,0.52,1,320,1,,,0.52,Age Élevé (58),Taux endettement Élevé (1)
47,36027,1,3,301,33226,0.26,2,816,0,,,0.45,Taux endettement Faible (0); Age Élevé (47),N/A
34,39485,0,14,237,299821,0.37,3,496,1,,,0.44,Taux endettement Faible (0),Age Faible (34)
66,24456,1,21,56,151370,0.93,0,644,0,,,0.48,Age Élevé (66),Taux endettement Élevé (1)
37,14259,0,21,142,307992,0.35,1,629,0,,,0.43,Taux endettement Faible (0),Age Faible (37)
65,18409,2,13,163,109291,0.37,2,677,1,,,0.46,Taux endettement Faible (0); Age Élevé (65),N/A
42,8791,0,21,61,396371,0.21,3,510,0,,,0.53,Taux endettement Faible (0),Age Faible (42)
39,30864,0,0,86,335798,0.96,1,459,1,,,0.46,N/A,Taux endettement Élevé (1); Age Faible (39)
30,39574,0,8,237,289888,0.46,3,869,0,,,0.42,Taux endettement Faible (0),Age Faible (30)
36,22888,1,6,331,164506,0.57,1,653,0,,,0.49,N/A,Taux endettement Élevé (1); Age Faible (36)
66,24692,2,22,133,115850,0.45,4,539,0,,,0.51,Taux endettement Faible (0); Age Élevé (66),N/A
53,28501,1,10,131,320145,0.25,4,378,0,,,0.49,Taux endettement Faible (0); Age Élevé (53),N/A
29,18304,1,22,322,470478,0.81,4,451,0,,,0.46,N/A,Taux endettement Élevé (1); Age Faible (29)
58,32527,0,1,85,69633,0.03,2,816,0,,,0.37,Taux endettement Faible (0); Age Élevé (58),N/A
36,23074,1,1,338,58917,0.69,4,682,1,,,0.47,N/A,Taux endettement Élevé (1); Age Faible (36)
29,20549,0,5,180,351948,0.59,2,651,0,,,0.49,N/A,Taux endettement Élevé (1); Age Faible (29)
26,34963,2,22,150,187817,0.14,0,500,1,,,0.45,Taux endettement Faible (0),Age Faible (26)
24,30920,1,18,131,273051,0.17,4,432,1,,,0.44,Taux endettement Faible (0),Age Faible (24)
45,35826,1,19,187,363439,0.66,2,468,0,,,0.49,Age Élevé (45),Taux endettement Élevé (1)
31,21061,1,13,224,199674,0.31,1,690,0,,,0.41,Taux endettement Faible (0),Age Faible (31)
48,33810,0,2,283,416980,0.27,2,684,0,,,0.46,Taux endettement Faible (0); Age Élevé (48),N/A
69,27800,0,6,88,427625,0.06,2,397,1,,,0.39,Taux endettement Faible (0); Age Élevé (69),N/A
36,14940,1,6,146,411606,0.77,1,676,0,,,0.46,N/A,Taux endettement Élevé (1); Age Faible (36)
64,8924,1,3,339,40172,0.88,2,639,1,,,0.49,Age Élevé (64),Taux endettement Élevé (1)
33,33054,2,22,100,396080,0.82,1,830,0,,,0.44,N/A,Taux endettement Élevé (1); Age Faible (33)
22,14783,2,4,199,241831,0.47,3,431,0,,,0.39,Taux endettement Faible (0),Age Faible (22)
52,18233,2,16,115,113512,0.53,4,509,1,,,0.54,Age Élevé (52),Taux endettement Élevé (1)
29,29484,2,3,57,181614,0.24,0,304,0,,,0.43,Taux endettement Faible (0),Age Faible (29)
42,30068,2,22,108,450540,0.17,2,676,1,,,0.4,Taux endettement Faible (0),Age Faible (42)
69,5191,0,12,106,58196,0.82,1,353,0,,,0.53,Age Élevé (69),Taux endettement Élevé (1)
38,30074,2,15,147,341045,0.8,4,797,0,,,0.43,N/A,Taux endettement Élevé (1); Age Faible (38)
53,9917,2,15,206,429052,0.78,2,497,0,,,0.52,Age Élevé (53),Taux endettement Élevé (1)
40,30832,1,1,324,497306,0.46,4,740,0,,,0.45,Taux endettement Faible (0),Age Faible (40)
33,25706,0,17,204,424879,0.86,3,479,0,,,0.46,N/A,Taux endettement Élevé (1); Age Faible (33)
56,18682,2,0,289,147023,0.93,2,540,1,,,0.51,Age Élevé (56),Taux endettement Élevé (1)
62,31762,2,17,222,287319,0.33,1,619,1,,,0.43,Taux endettement Faible (0); Age Élevé (62),N/A
59,28383,2,7,51,414243,0.22,3,800,1,,,0.49,Taux endettement Faible (0); Age Élevé (59),N/A
56,32796,1,10,33,117809,0.46,2,322,1,,,0.49,Taux endettement Faible (0); Age Élevé (56),N/A
31,28666,1,23,7,347774,0.18,4,893,1,,,0.45,Taux endettement Faible (0),Age Faible (31)
48,30662,1,23,22,360761,0.88,3,479,0,,,0.5,Age Élevé (48),Taux endettement Élevé (1)
22,39642,2,14,320,153239,0.34,1,474,0,,,0.38,Taux endettement Faible (0),Age Faible (22)
52,15234,1,15,82,215377,0.58,2,497,0,,,0.55,Age Élevé (52),Taux endettement Élevé (1)
40,14221,2,16,170,426276,0.59,4,837,0,,,0.51,N/A,Taux endettement Élevé (1); Age Faible (40)
46,16410,0,16,102,137310,0.51,4,753,0,,,0.51,Age Élevé (46),Taux endettement Élevé (1)
60,19519,2,11,110,338700,0.16,3,398,1,,,0.43,Taux endettement Faible (0); Age Élevé (60),N/A
28,6051,1,9,29,480597,0.99,2,726,1,,,0.5,N/A,Taux endettement Élevé (1); Age Faible (28)
35,14765,0,19,205,374292,0.17,4,752,1,,,0.46,Taux endettement Faible (0),Age Faible (35)
64,16382,2,5,40,242949,0.75,3,490,1,,,0.48,Age Élevé (64),Taux endettement Élevé (1)
29,17580,0,7,7,20485,0.79,0,877,1,,,0.45,N/A,Taux endettement Élevé (1); Age Faible (29)
26,37323,0,12,294,375890,0.15,4,798,0,,,0.43,Taux endettement Faible (0),Age Faible (26)
27,16939,0,1,337,476666,0.93,3,490,0,,,0.49,N/A,Taux endettement Élevé (1); Age Faible (27)
61,34964,2,18,347,261818,0.49,0,440,0,,,0.49,Taux endettement Faible (0); Age Élevé (61),N/A
34,5307,1,21,143,116255,0.63,3,474,0,,,0.61,N/A,Taux endettement Élevé (1); Age Faible (34)
55,8359,2,9,342,18802,0.64,4,719,1,,,0.57,Age Élevé (55),Taux endettement Élevé (1)
24,34648,1,3,67,305458,0.5,0,733,1,,,0.4,Taux endettement Faible (0),Age Faible (24)
63,39019,2,11,304,264290,0.14,3,739,0,,,0.41,Taux endettement Faible (0); Age Élevé (63),N/A
30,32323,2,17,202,451514,0.75,2,830,0,,,0.45,N/A,Taux endettement Élevé (1); Age Faible (30)
57,11226,2,6,64,291709,0.58,0,831,0,,,0.53,Age Élevé (57),Taux endettement Élevé (1)
59,26689,1,19,270,103153,0.12,3,660,0,,,0.41,Taux endettement Faible (0); Age Élevé (59),N/A
26,35971,2,23,338,363289,0.7,2,745,0,,,0.46,N/A,Taux endettement Élevé (1); Age Faible (26)
67,30954,0,23,193,316377,0.7,0,855,0,,,0.43,Age Élevé (67),Taux endettement Élevé (1)
44,29423,2,22,68,489123,0.55,3,656,1,,,0.48,Age Élevé (44),Taux endettement Élevé (1)
19,35391,0,24,313,320528,0.09,4,860,1,,,0.38,Taux endettement Faible (0),Age Faible (19)
22,19330,1,3,284,193557,0.35,0,358,1,,,0.38,Taux endettement Faible (0),Age Faible (22)
46,9891,1,6,35,225732,0.05,0,466,1,,,0.41,Taux endettement Faible (0); Age Élevé (46),N/A
54,9992,2,9,176,350397,0.48,2,562,0,,,0.52,Taux endettement Faible (0); Age Élevé (54),N/A
55,6961,2,14,26,466186,0.91,3,730,0,,,0.52,Age Élevé (55),Taux endettement Élevé (1)
36,17497,2,11,304,47669,0.0,4,495,0,,,0.3,Taux endettement Faible (0),Age Faible (36)
25,37551,0,0,206,429488,0.27,2,653,0,,,0.42,Taux endettement Faible (0),Age Faible (25)
65,15848,1,19,140,415058,0.8,0,346,1,,,0.46,Age Élevé (65),Taux endettement Élevé (1)
62,18255,0,17,277,336243,0.01,2,608,0,,,0.3,Taux endettement Faible (0); Age Élevé (62),N/A
18,9567,0,24,28,114012,0.01,2,529,0,,,0.33,Taux endettement Faible (0),Age Faible (18)
39,25389,2,15,92,143154,0.61,2,710,1,,,0.5,N/A,Taux endettement Élevé (1); Age Faible (39)
69,21567,2,4,36,134878,0.79,0,615,0,,,0.45,Age Élevé (69),Taux endettement Élevé (1)
34,8358,0,18,126,457020,0.78,1,376,1,,,0.52,N/A,Taux endettement Élevé (1); Age Faible (34)
24,27999,0,3,74,167333,0.78,2,361,0,,,0.43,N/A,Taux endettement Élevé (1); Age Faible (24)
42,15988,2,5,139,227578,0.36,1,870,1,,,0.43,Taux endettement Faible (0),Age Faible (42)
62,36521,2,16,320,19795,0.88,4,537,1,,,0.48,Age Élevé (62),Taux endettement Élevé (1)
21,10698,0,6,151,317453,0.01,4,867,0,,,0.35,Taux endettement Faible (0),Age Faible (21)
53,6273,2,23,338,202528,0.31,4,377,0,,,0.54,Taux endettement Faible (0); Age Élevé (53),N/A
23,32543,2,22,268,239636,0.34,3,858,1,,,0.39,Taux endettement Faible (0),Age Faible (23)
48,36349,0,6,298,30180,0.17,0,715,0,,,0.43,Taux endettement Faible (0); Age Élevé (48),N/A
36,16241,0,8,91,466504,0.34,1,323,1,,,0.44,Taux endettement Faible (0),Age Faible (36)
61,14497,1,12,21,318479,0.59,3,328,0,,,0.51,Age Élevé (61),Taux endettement Élevé (1)
56,37703,0,19,221,365031,0.52,1,790,1,,,0.52,Age Élevé (56),Taux endettement Élevé (1)
44,36954,2,13,121,269495,0.32,0,434,0,,,0.42,Taux endettement Faible (0); Age Élevé (44),N/A
27,13002,0,15,123,436484,0.75,2,650,1,,,0.48,N/A,Taux endettement Élevé (1); Age Faible (27)
43,9247,0,22,275,207623,0.71,3,649,1,,,0.52,N/A,Taux endettement Élevé (1); Age Faible (43)
36,26698,0,8,348,249901,0.28,0,580,0,,,0.43,Taux endettement Faible (0),Age Faible (36)
56,24738,1,14,167,165561,0.32,3,775,0,,,0.46,Taux endettement Faible (0); Age Élevé (56),N/A
20,15703,1,4,193,200470,0.29,4,591,1,,,0.34,Taux endettement Faible (0),Age Faible (20)
62,22570,2,17,109,132352,0.13,3,488,1,,,0.39,Taux endettement Faible (0); Age Élevé (62),N/A
30,17392,1,20,146,374411,0.75,2,882,1,,,0.45,N/A,Taux endettement Élevé (1); Age Faible (30)
67,37299,0,19,172,195542,0.05,2,718,0,,,0.39,Taux endettement Faible (0); Age Élevé (67),N/A
45,20641,1,7,305,349546,0.15,1,767,1,,,0.37,Taux endettement Faible (0); Age Élevé (45),N/A
37,18998,0,14,33,120551,0.11,3,505,1,,,0.42,Taux endettement Faible (0),Age Faible (37)
45,11305,1,20,277,373154,0.83,4,541,0,,,0.44,Age Élevé (45),Taux endettement Élevé (1)
25,37726,1,24,55,90808,0.04,2,605,1,,,0.4,Taux endettement Faible (0),Age Faible (25)
58,23782,1,8,161,130823,0.66,1,483,0,,,0.5,Age Élevé (58),Taux endettement Élevé (1)
56,17721,0,18,329,435377,0.04,4,777,1,,,0.37,Taux endettement Faible (0); Age Élevé (56),N/A
18,17427,1,21,353,130469,0.79,4,803,0,,,0.44,N/A,Taux endettement Élevé (1); Age Faible (18)
20,25566,0,5,126,208707,0.91,4,427,0,,,0.44,N/A,Taux endettement Élevé (1); Age Faible (20)
30,7230,0,3,145,344066,0.49,0,748,0,,,0.5,Taux endettement Faible (0),Age Faible (30)
45,11511,2,10,21,343018,0.8,2,529,0,,,0.42,Age Élevé (45),Taux endettement Élevé (1)
66,31177,1,9,314,389397,0.71,0,340,0,,,0.47,Age Élevé (66),Taux endettement Élevé (1)
42,9765,2,2,54,332505,0.8,0,691,0,,,0.37,N/A,Taux endettement Élevé (1); Age Faible (42)
50,25354,2,0,169,83836,0.77,2,639,1,,,0.51,Age Élevé (50),Taux endettement Élevé (1)
55,28929,0,11,67,201838,0.21,3,320,0,,,0.49,Taux endettement Faible (0); Age Élevé (55),N/A
23,33820,1,22,345,162472,0.5,1,646,1,,,0.4,Taux endettement Faible (0),Age Faible (23)
61,34523,0,14,159,296785,0.96,2,309,0,,,0.5,Age Élevé (61),Taux endettement Élevé (1)
62,10552,0,14,317,193305,0.34,1,386,0,,,0.45,Taux endettement Faible (0); Age Élevé (62),N/A
49,5627,1,20,351,79833,0.97,3,844,1,,,0.5,Age Élevé (49),Taux endettement Élevé (1)
62,16989,0,13,155,261673,0.58,2,638,0,,,0.5,Age Élevé (62),Taux endettement Élevé (1)
64,18780,1,6,78,422548,0.46,4,303,1,,,0.51,Taux endettement Faible (0); Age Élevé (64),N/A
38,11589,1,16,74,393043,0.66,2,322,1,,,0.48,N/A,Taux endettement Élevé (1); Age Faible (38)
33,39812,0,23,182,123398,0.82,3,496,1,,,0.44,N/A,Taux endettement Élevé (1); Age Faible (33)
38,33128,0,18,359,418417,0.39,0,797,0,,,0.43,Taux endettement Faible (0),Age Faible (38)
28,32790,2,6,7,448598,0.03,2,572,1,,,0.36,Taux endettement Faible (0),Age Faible (28)
54,5249,0,2,314,56129,0.71,4,750,1,,,0.57,Age Élevé (54),Taux endettement Élevé (1)
53,24309,1,2,124,305952,0.96,2,406,1,,,0.56,Age Élevé (53),Taux endettement Élevé (1)
52,30901,2,24,12,88346,0.62,0,677,0,,,0.57,Age Élevé (52),Taux endettement Élevé (1)
36,28576,1,17,260,83524,0.19,2,499,0,,,0.45,Taux endettement Faible (0),Age Faible (36)
37,36508,2,19,80,66625,0.25,4,301,0,,,0.43,Taux endettement Faible (0),Age Faible (37)
35,14175,0,21,356,312471,0.91,3,420,0,,,0.49,N/A,Taux endettement Élevé (1); Age Faible (35)
64,30464,0,13,200,160651,0.01,4,448,0,,,0.3,Taux endettement Faible (0); Age Élevé (64),N/A
58,21260,0,2,192,31483,0.55,3,451,1,,,0.52,Age Élevé (58),Taux endettement Élevé (1)
66,34546,1,6,8,403719,0.16,4,864,1,,,0.43,Taux endettement Faible (0); Age Élevé (66),N/A
31,6987,2,6,189,343024,0.28,1,605,1,,,0.53,Taux endettement Faible (0),Age Faible (31)
32,30105,1,4,340,18947,0.31,2,774,1,,,0.41,Taux endettement Faible (0),Age Faible (32)
48,17948,2,2,278,150605,0.22,2,663,0,,,0.47,Taux endettement Faible (0); Age Élevé (48),N/A
18,18026,0,17,57,188648,0.79,0,370,0,,,0.44,N/A,Taux endettement Élevé (1); Age Faible (18)
20,7773,1,14,268,313060,0.33,1,332,0,,,0.41,Taux endettement Faible (0),Age Faible (20)
33,14878,0,19,138,450139,0.35,0,456,0,,,0.44,Taux endettement Faible (0),Age Faible (33)
40,15377,1,13,230,458378,0.45,2,629,1,,,0.46,Taux endettement Faible (0),Age Faible (40)
28,12347,0,3,315,483945,0.9,0,686,1,,,0.5,N/A,Taux endettement Élevé (1); Age Faible (28)
29,38776,1,23,66,135468,0.69,3,458,1,,,0.46,N/A,Taux endettement Élevé (1); Age Faible (29)
27,8783,1,7,21,470133,0.06,1,838,0,,,0.53,Taux endettement Faible (0),Age Faible (27)
49,9298,2,20,234,261362,0.04,4,526,1,,,0.37,Taux endettement Faible (0); Age Élevé (49),N/A
33,9668,0,12,200,279156,0.57,3,551,1,,,0.5,N/A,Taux endettement Élevé (1); Age Faible (33)
25,25671,2,21,256,25213,0.89,4,666,0,,,0.47,N/A,Taux endettement Élevé (1); Age Faible (25)
55,39820,2,7,308,430779,0.32,0,561,0,,,0.47,Taux endettement Faible (0); Age Élevé (55),N/A
29,39484,0,14,53,156284,0.25,2,837,1,,,0.43,Taux endettement Faible (0),Age Faible (29)
41,38078,1,16,240,105660,0.75,3,342,0,,,0.45,N/A,Taux endettement Élevé (1); Age Faible (41)
45,25922,2,4,126,332332,0.6,1,830,1,,,0.48,Age Élevé (45),Taux endettement Élevé (1)
25,39028,0,19,325,56576,0.57,4,315,1,,,0.5,N/A,Taux endettement Élevé (1); Age Faible (25)
45,25316,1,3,55,282855,0.15,3,404,1,,,0.37,Taux endettement Faible (0); Age Élevé (45),N/A
53,16460,2,10,46,499018,0.18,2,502,1,,,0.47,Taux endettement Faible (0); Age Élevé (53),N/A
43,21968,2,17,27,259486,0.28,1,358,1,,,0.43,Taux endettement Faible (0),Age Faible (43)
25,35266,2,9,187,257647,0.21,1,347,0,,,0.45,Taux endettement Faible (0),Age Faible (25)
67,35209,1,16,10,281659,0.97,4,576,0,,,0.45,Age Élevé (67),Taux endettement Élevé (1)
45,29000,2,14,150,161265,0.02,3,711,0,,,0.32,Taux endettement Faible (0); Age Élevé (45),N/A
45,19011,1,5,83,208739,0.63,3,477,1,,,0.51,Age Élevé (45),Taux endettement Élevé (1)
54,7866,2,22,236,143496,0.52,1,413,1,,,0.56,Age Élevé (54),Taux endettement Élevé (1)
58,10898,0,20,302,54344,0.32,0,595,0,,,0.46,Taux endettement Faible (0); Age Élevé (58),N/A
53,23395,2,15,353,204164,0.89,1,737,0,,,0.53,Age Élevé (53),Taux endettement Élevé (1)
44,9006,0,14,214,490575,0.67,2,565,0,,,0.52,Age Élevé (44),Taux endettement Élevé (1)
34,39393,0,7,168,331739,1.0,3,461,1,,,0.46,N/A,Taux endettement Élevé (1); Age Faible (34)
26,15956,0,8,173,457842,0.17,4,803,0,,,0.45,Taux endettement Faible (0),Age Faible (26)
50,35663,1,10,283,281344,0.09,3,335,0,,,0.38,Taux endettement Faible (0); Age Élevé (50),N/A
37,11078,0,1,242,191541,0.14,1,886,1,,,0.45,Taux endettement Faible (0),Age Faible (37)
30,34631,2,12,181,164103,0.27,2,757,0,,,0.41,Taux endettement Faible (0),Age Faible (30)
45,35140,1,3,58,144288,0.42,0,670,0,,,0.45,Taux endettement Faible (0); Age Élevé (45),N/A
65,8961,0,8,354,448810,0.86,3,785,1,,,0.45,Age Élevé (65),Taux endettement Élevé (1)
46,34277,1,4,15,272160,0.28,1,571,1,,,0.45,Taux endettement Faible (0); Age Élevé (46),N/A
30,36417,1,18,151,112974,0.92,1,478,0,,,0.5,N/A,Taux endettement Élevé (1); Age Faible (30)
63,27484,1,21,232,429594,0.46,1,779,1,,,0.5,Taux endettement Faible (0); Age Élevé (63),N/A
52,23103,2,2,241,110927,0.65,2,458,0,,,0.56,Age Élevé (52),Taux endettement Élevé (1)
23,34345,0,20,247,434950,0.26,1,503,0,,,0.39,Taux endettement Faible (0),Age Faible (23)
35,6587,1,2,310,351030,0.16,1,577,0,,,0.54,Taux endettement Faible (0),Age Faible (35)
68,26031,1,5,76,124817,0.87,1,442,0,,,0.47,Age Élevé (68),Taux endettement Élevé (1)
22,31212,1,9,163,155522,0.11,3,819,1,,,0.42,Taux endettement Faible (0),Age Faible (22)
64,15350,0,4,24,404689,0.77,1,811,1,,,0.48,Age Élevé (64),Taux endettement Élevé (1)
42,23816,1,24,60,297669,0.58,2,415,1,,,0.47,N/A,Taux endettement Élevé (1); Age Faible (42)
19,25288,1,2,220,431788,0.86,3,691,0,,,0.44,N/A,Taux endettement Élevé (1); Age Faible (19)
27,34432,2,21,214,314172,0.72,1,642,0,,,0.48,N/A,Taux endettement Élevé (1); Age Faible (27)
47,11837,0,23,26,178151,0.28,0,672,0,,,0.45,Taux endettement Faible (0); Age Élevé (47),N/A
67,39217,2,6,287,200039,0.57,2,668,1,,,0.48,Age Élevé (67),Taux endettement Élevé (1)
62,25884,0,21,254,62047,0.01,0,514,0,,,0.3,Taux endettement Faible (0); Age Élevé (62),N/A
22,10454,0,17,33,302254,0.48,2,810,0,,,0.39,Taux endettement Faible (0),Age Faible (22)
50,14424,0,22,301,373184,0.09,0,868,0,,,0.38,Taux endettement Faible (0); Age Élevé (50),N/A
18,23412,2,7,216,129786,0.43,1,626,1,,,0.35,Taux endettement Faible (0),Age Faible (18)
35,25142,2,0,290,102424,0.11,0,336,0,,,0.43,Taux endettement Faible (0),Age Faible (35)
49,13848,2,24,25,143018,0.96,0,679,0,,,0.53,Age Élevé (49),Taux endettement Élevé (1)
64,18136,2,3,25,425159,0.52,2,811,1,,,0.52,Age Élevé (64),Taux endettement Élevé (1)
66,5589,1,23,335,264568,0.91,1,623,1,,,0.53,Age Élevé (66),Taux endettement Élevé (1)
28,25908,1,6,125,25740,0.02,2,668,0,,,0.35,Taux endettement Faible (0),Age Faible (28)
38,11509,1,13,102,495197,0.64,1,523,0,,,0.5,N/A,Taux endettement Élevé (1); Age Faible (38)
43,14968,0,12,125,124988,0.31,4,399,1,,,0.42,Taux endettement Faible (0),Age Faible (43)
42,7462,1,9,30,84712,0.43,3,374,1,,,0.53,Taux endettement Faible (0),Age Faible (42)
39,14460,0,22,158,367546,0.87,3,736,1,,,0.46,N/A,Taux endettement Élevé (1); Age Faible (39)
44,38783,2,17,250,447867,0.98,2,667,0,,,0.46,Age Élevé (44),Taux endettement Élevé (1)
66,14275,0,0,265,47269,0.25,1,362,1,,,0.48,Taux endettement Faible (0); Age Élevé (66),N/A
30,33677,0,3,9,480370,0.95,0,398,0,,,0.5,N/A,Taux endettement Élevé (1); Age Faible (30)
50,18269,1,15,148,231344,0.69,3,524,1,,,0.54,Age Élevé (50),Taux endettement Élevé (1)
51,5406,2,15,287,310826,0.95,2,374,0,,,0.55,Age Élevé (51),Taux endettement Élevé (1)
58,12384,2,17,340,130359,0.56,2,483,0,,,0.52,Age Élevé (58),Taux endettement Élevé (1)
52,27553,1,7,351,165673,0.96,2,592,1,,,0.55,Age Élevé (52),Taux endettement Élevé (1)
18,29366,2,9,225,304994,0.89,1,356,1,,,0.46,N/A,Taux endettement Élevé (1); Age Faible (18)
